date,PV,GHI,CGHI,COSZ
2021-02-12 14:00:00,0.31252086811352253,540.62675,540.62675,0.551
2021-02-12 15:00:00,0.2410016694490818,406.6845,406.6845,0.44
2021-02-12 16:00:00,0.1286143572621035,234.22675,235.189,0.289
2021-02-12 17:00:00,0.027646076794657762,62.8405,67.78308333333332,0.108
2021-02-13 07:00:00,0.0,12.151416666666668,15.062166666666668,0.004
2021-02-13 08:00:00,0.031252086811352255,132.49625,140.89666666666668,0.196
2021-02-13 09:00:00,0.11599332220367278,319.56825,319.56825,0.365
2021-02-13 10:00:00,0.27045075125208684,478.0140833333333,478.0140833333333,0.499
2021-02-13 11:00:00,0.3365609348914858,589.6093333333332,589.6093333333332,0.59
2021-02-13 12:00:00,0.3618030050083472,639.9649166666667,639.9649166666667,0.63
2021-02-13 13:00:00,0.3545909849749583,625.3824166666667,625.3824166666667,0.618
2021-02-13 14:00:00,0.3179298831385643,546.4418333333333,546.4418333333333,0.555
2021-02-13 15:00:00,0.24580968280467444,412.0459166666667,412.0459166666667,0.444
2021-02-13 16:00:00,0.1358263772954925,239.612,239.612,0.293
2021-02-13 17:00:00,0.029449081803005008,66.76025,70.45841666666666,0.111
2021-02-14 07:00:00,0.0018030050083472455,5.313583333333333,16.28175,0.0069999999999999
2021-02-14 08:00:00,0.03425709515859766,53.353,144.58691666666667,0.2
2021-02-14 09:00:00,0.08894824707846412,151.20675,324.5373333333333,0.369
2021-02-14 10:00:00,0.2085475792988314,314.43991666666665,478.17725,0.503
2021-02-14 11:00:00,0.13522537562604342,226.64408333333333,572.2355833333334,0.594
2021-02-14 12:00:00,0.12500834724540902,224.491,621.223,0.635
2021-02-14 13:00:00,0.08654424040066777,149.43049999999997,607.0496666666667,0.623
2021-02-14 14:00:00,0.11839732888146912,202.6526666666667,530.08,0.5589999999999999
2021-02-14 15:00:00,0.07452420701168615,132.7925,398.9873333333334,0.4479999999999999
2021-02-14 16:00:00,0.039065108514190316,57.19483333333333,232.08725,0.296
2021-02-14 17:00:00,0.006010016694490817,22.49725,69.02058333333333,0.115
2021-02-15 07:00:00,0.0,2.1359166666666667,16.4685,0.011
2021-02-15 08:00:00,0.0018030050083472455,21.385,140.41791666666668,0.204
2021-02-15 09:00:00,0.0066110183639399005,47.13683333333333,314.1645833333334,0.373
2021-02-15 10:00:00,0.07091819699499165,104.4905833333333,424.1985,0.508
2021-02-15 11:00:00,0.3467779632721202,324.6695,532.3437499999999,0.598
2021-02-15 12:00:00,0.36480801335559265,318.7425,625.7855833333334,0.639
2021-02-15 13:00:00,0.3798330550918197,379.26666666666665,611.4829166666667,0.627
2021-02-15 14:00:00,0.25242070116861437,313.81125,534.6047500000001,0.564
2021-02-15 15:00:00,0.29869782971619363,326.7020833333333,403.64200000000005,0.452
2021-02-15 16:00:00,0.15746243739565943,233.66025,235.92091666666667,0.3
2021-02-15 17:00:00,0.013222036727879801,51.66566666666666,71.65366666666667,0.119
2021-02-16 07:00:00,0.005409015025041736,14.569083333333332,17.64825,0.0139999999999999
2021-02-16 08:00:00,0.0823372287145242,143.85116666666664,143.85116666666664,0.207
2021-02-16 09:00:00,0.2013355592654424,277.3878333333334,318.4255,0.377
2021-02-16 10:00:00,0.23559265442404007,363.5258333333333,479.9094166666667,0.512
2021-02-16 11:00:00,0.2836727879799666,359.5333333333333,610.25375,0.603
2021-02-16 12:00:00,0.286677796327212,372.4860000000001,660.8541666666667,0.643
2021-02-16 13:00:00,0.12140233722871452,188.785,646.1548333333334,0.632
2021-02-16 14:00:00,0.02283806343906511,88.8445,566.6201666666667,0.568
2021-02-16 15:00:00,0.01021702838063439,117.52716666666667,430.06666666666666,0.456
2021-02-16 16:00:00,0.013823038397328881,142.1401666666667,254.71816666666663,0.304
2021-02-16 17:00:00,0.0018030050083472455,57.12825000000001,79.75016666666667,0.123
2021-02-17 07:00:00,0.0006010016694490818,8.234083333333333,20.292666666666666,0.018
2021-02-17 08:00:00,0.0330550918196995,95.39783333333332,157.39783333333332,0.211
2021-02-17 09:00:00,0.07752921535893155,126.85474999999998,341.1781666666667,0.381
2021-02-17 11:00:00,0.23799666110183637,356.31508333333335,631.6806666666666,0.607
2021-02-17 12:00:00,0.38163606010016693,274.8016666666667,683.4323333333333,0.648
2021-02-17 13:00:00,0.3557929883138565,272.94533333333334,668.368,0.636
