X,Y
18.02251631,1.418008115
18.12375802,1.410796376
18.19126406,1.403769554
18.29251733,1.397101007
18.36001181,1.390605819
18.46126508,1.384480464
18.52875956,1.378540026
18.63001283,1.371328287
18.73126611,1.364474824
18.86626662,1.358349469
19.00126713,1.351322646
19.13625608,1.345012375
19.2712566,1.339071937
19.44000435,1.332946582
19.60876365,1.326278035
19.81125864,1.32015268
20.01375363,1.314200684
20.21624862,1.308075329
20.4862612,1.301580141
20.72251499,1.295454786
20.95876877,1.289329431
21.22876979,1.28301916
21.53251806,1.276720446
21.83625476,1.270595091
22.20748594,1.264643095
22.61247592,1.258691099
23.05122469,1.252565744
23.55749106,1.246440389
24.1650107,1.240315035
24.77254189,1.234363039
25.44756757,1.2284226
26.19009928,1.222470604
26.96637822,1.216345249
27.84391044,1.210404811
28.72144266,1.204452815
29.70019348,1.198512376
30.67889807,1.19256038
31.79264941,1.186608385
32.94014798,1.180667946
34.29014154,1.17471595
35.94396426,1.168775512
38.00278852,1.162823516
41.10791586,1.156883077
45.15808146,1.152734016
49.2082355,1.150746165
53.25838953,1.149128147
57.30855513,1.147140296
61.35854737,1.143904259
65.40853961,1.13885373
68.74992073,1.132913292
71.24752844,1.126961296
73.23885822,1.121020857
74.82516335,1.115068862
76.1752147,1.109116866
77.3227595,1.103176427
78.36905102,1.097224431
79.28030737,1.091283993
80.09026421,1.085331997
80.83273813,1.079391558
81.50774069,1.073439562
82.11523721,1.067314208
82.6889865,1.061362212
83.2290001,1.055421773
83.70151923,1.049469777
84.17403836,1.043344422
84.57903989,1.037403984
84.98404143,1.031451988
85.38905452,1.025326633
85.72657313,1.019374637
86.06406863,1.013434198
86.40156413,1.007482203
86.70533551,1.001541764
87.00909533,0.995231493
87.31285515,0.988921221
87.58286773,0.98261095
87.85286875,0.976312236
88.12285822,0.969817048
88.35910045,0.96387661
88.62908991,0.957739697
88.86535526,0.951614343
89.10160904,0.945315628
89.37161006,0.939005357
89.64161109,0.93233681
89.91161211,0.92585318
90.18161314,0.919542909
90.45161416,0.913047721
90.75535086,0.90656409
91.05909913,0.900623652
91.43036498,0.894313381
91.76786048,0.888361385
92.17286202,0.88223603
92.61161079,0.876110675
93.0841068,0.870158679
93.62413196,0.86421824
94.19790436,0.858092885
94.80540089,0.85214089
95.51415068,0.846200451
96.25668239,0.840248455
97.06668546,0.834296459
97.94413678,0.828356021
98.88914036,0.822404025
100.070444,0.816463586
100.8804701,0.81051159
101.9267617,0.804386235
102.9392597,0.79843424
103.9180106,0.792493801
104.896796,0.786541805
105.8417996,0.780601367
106.7867917,0.774649371
107.6980827,0.768708932
108.5756149,0.762756936
109.4531471,0.75680494
110.2968974,0.750864502
111.1406477,0.744912506
111.9844327,0.738972067
112.7944242,0.733020072
113.57068,0.727079633
114.3807062,0.721127637
115.1569621,0.715187199
115.9332063,0.709050286
116.7094853,0.703109848
117.4519823,0.697157852
118.2282382,0.691032497
119.0044824,0.685092058
119.7807383,0.679140063
120.5232584,0.673188067
121.2657901,0.667247628
122.0083218,0.661295632
122.7845661,0.655355194
123.5608219,0.649403198
124.3370662,0.643462759
125.1470693,0.637510763
125.9570955,0.631558768
126.7671332,0.625618329
127.6108835,0.619666333
128.4883811,0.613540978
129.3996605,0.60760054
130.3109515,0.601648544
131.2559898,0.595696548
132.2347753,0.589756109
133.2810668,0.583804113
134.4286116,0.577678759
135.6099036,0.57173832
136.8924605,0.565786324
138.2425119,0.559845886
139.6937587,0.55389389
141.2462588,0.547941894
142.8662534,0.542001455
144.5875012,0.536049459
146.3088184,0.530109021
148.0301356,0.524157025
149.7514528,0.518216586
151.3377695,0.512264591
152.9240169,0.506324152
154.4427582,0.500372156
155.8940744,0.49442016
157.2778729,0.488479722
158.6279243,0.482527726
159.9442284,0.476587287
161.1930265,0.470635291
162.5093306,0.464694853
163.7918875,0.458742857
165.0069267,0.452790861
166.2219313,0.446850423
