X,Y1,Y2,Z
0.5,1.26010101,2.37206112,6.92712
0.5,1.272727273,2.391894407,6.95016
0.5,1.285353535,2.411727694,6.97727
0.5,1.297979798,2.431560981,7.00859
0.5,1.310606061,2.451394268,7.0443
0.5,1.323232323,2.471227555,7.0845400000000005
0.5,1.335858586,2.491060841,7.12946
0.5,1.348484848,2.510894128,7.17924
0.5,1.361111111,2.530727415,7.23402
0.5,1.373737374,2.550560702,7.293950000000001
0.5,1.386363636,2.570393989,7.3592
0.5,1.398989899,2.590227276,7.42992
0.5,1.411616162,2.610060563,7.506270000000001
0.5,1.424242424,2.62989385,7.5884
0.5,1.436868687,2.649727137,7.6764600000000005
0.5,1.449494949,2.669560424,7.770630000000001
0.5,1.462121212,2.689393711,7.87104
0.5,1.474747475,2.709226998,7.977860000000001
0.5,1.487373737,2.729060285,8.09125
0.5,1.5,2.748893572,8.21135
0.515151515,0.262626263,0.841892981,4.55678
0.515151515,0.275252525,0.862327276,4.75344
0.515151515,0.287878788,0.882761572,4.94187
0.515151515,0.300505051,0.903195868,5.12222
0.515151515,0.313131313,0.923630163,5.29464
0.515151515,0.325757576,0.944064459,5.45929
0.515151515,0.338383838,0.964498755,5.61632
0.515151515,0.351010101,0.98493305,5.76588
0.515151515,0.363636364,1.005367346,5.90814
0.515151515,0.376262626,1.025801642,6.0432500000000005
0.515151515,0.388888889,1.046235937,6.17136
0.515151515,0.401515152,1.066670233,6.29263
0.515151515,0.414141414,1.087104529,6.40721
0.515151515,0.426767677,1.107538824,6.5152600000000005
0.515151515,0.439393939,1.12797312,6.61693
0.515151515,0.452020202,1.148407416,6.7123800000000005
0.515151515,0.464646465,1.168841711,6.80177
0.515151515,0.477272727,1.189276007,6.8852400000000005
0.515151515,0.48989899,1.209710302,6.96296
0.515151515,0.502525253,1.230144598,7.03507
0.515151515,0.515151515,1.250578894,7.10174
0.515151515,0.527777778,1.271013189,7.16312
0.515151515,0.54040404,1.291447485,7.21936
0.515151515,0.553030303,1.311881781,7.27062
0.515151515,0.565656566,1.332316076,7.317060000000001
0.515151515,0.578282828,1.352750372,7.358820000000001
0.515151515,0.590909091,1.373184668,7.39607
0.515151515,0.603535354,1.393618963,7.42896
0.515151515,0.616161616,1.414053259,7.4576400000000005
0.515151515,0.628787879,1.434487555,7.482270000000001
0.515151515,0.641414141,1.45492185,7.503010000000001
0.515151515,0.654040404,1.475356146,7.52001
0.515151515,0.666666667,1.495790442,7.5334200000000004
0.515151515,0.679292929,1.516224737,7.5434
0.515151515,0.691919192,1.536659033,7.55011
0.515151515,0.704545455,1.557093329,7.5537
0.515151515,0.717171717,1.577527624,7.554320000000001
0.515151515,0.72979798,1.59796192,7.5521400000000005
0.515151515,0.742424242,1.618396215,7.5473
0.515151515,0.755050505,1.638830511,7.539960000000001
0.515151515,0.767676768,1.659264807,7.53027
0.515151515,0.78030303,1.679699102,7.518400000000001
0.515151515,0.792929293,1.700133398,7.5044900000000005
0.515151515,0.805555556,1.720567694,7.488700000000001
0.515151515,0.818181818,1.741001989,7.47119
0.515151515,0.830808081,1.761436285,7.45211
0.515151515,0.843434343,1.781870581,7.431620000000001
0.515151515,0.856060606,1.802304876,7.409870000000001
0.515151515,0.868686869,1.822739172,7.38701
0.515151515,0.881313131,1.843173468,7.3632100000000005
0.515151515,0.893939394,1.863607763,7.33861
0.515151515,0.906565657,1.884042059,7.31338
