"year","global mean SC","2s.d. error range","smoothed global mean SC, by LOWESS with span width of 240 month"
1970.917,-0.01325,0.00535,-0.01273
1971.000,-0.01358,0.00526,-0.01272
1971.083,-0.01381,0.00522,-0.01270
1971.167,-0.01379,0.00526,-0.01269
1971.250,-0.01392,0.00524,-0.01267
1971.333,-0.01444,0.00525,-0.01265
1971.417,-0.01439,0.00521,-0.01263
1971.500,-0.01360,0.00523,-0.01262
1971.583,-0.01325,0.00521,-0.01260
1971.667,-0.01266,0.00520,-0.01258
1971.750,-0.01277,0.00516,-0.01256
1971.833,-0.01305,0.00524,-0.01255
1971.917,-0.01351,0.00527,-0.01253
1972.000,-0.01415,0.00511,-0.01251
1972.083,-0.01409,0.00509,-0.01249
1972.167,-0.01442,0.00511,-0.01247
1972.250,-0.01488,0.00509,-0.01246
1972.333,-0.01494,0.00505,-0.01244
1972.417,-0.01485,0.00497,-0.01242
1972.500,-0.01421,0.00497,-0.01240
1972.583,-0.01460,0.00497,-0.01238
1972.667,-0.01434,0.00500,-0.01236
1972.750,-0.01389,0.00496,-0.01234
1972.833,-0.01406,0.00494,-0.01233
1972.917,-0.01418,0.00490,-0.01231
1973.000,-0.01371,0.00482,-0.01229
1973.083,-0.01388,0.00479,-0.01227
1973.167,-0.01369,0.00486,-0.01225
1973.250,-0.01352,0.00494,-0.01223
1973.333,-0.01329,0.00498,-0.01221
1973.417,-0.01310,0.00502,-0.01219
1973.500,-0.01336,0.00502,-0.01217
1973.583,-0.01359,0.00508,-0.01215
1973.667,-0.01343,0.00507,-0.01213
1973.750,-0.01342,0.00497,-0.01211
1973.833,-0.01312,0.00495,-0.01209
1973.917,-0.01231,0.00499,-0.01207
1974.000,-0.01259,0.00493,-0.01205
1974.083,-0.01266,0.00498,-0.01203
1974.167,-0.01259,0.00502,-0.01201
1974.250,-0.01226,0.00508,-0.01199
1974.333,-0.01152,0.00511,-0.01197
1974.417,-0.01220,0.00515,-0.01195
1974.500,-0.01209,0.00520,-0.01193
1974.583,-0.01208,0.00524,-0.01190
1974.667,-0.01152,0.00532,-0.01188
1974.750,-0.01083,0.00537,-0.01186
1974.833,-0.01036,0.00542,-0.01184
1974.917,-0.01035,0.00548,-0.01182
1975.000,-0.01077,0.00535,-0.01180
1975.083,-0.01121,0.00535,-0.01178
1975.167,-0.01054,0.00530,-0.01175
1975.250,-0.01076,0.00523,-0.01173
1975.333,-0.01079,0.00524,-0.01171
1975.417,-0.01088,0.00520,-0.01169
1975.500,-0.01109,0.00512,-0.01167
1975.583,-0.01102,0.00508,-0.01164
1975.667,-0.01064,0.00507,-0.01162
1975.750,-0.01020,0.00494,-0.01160
1975.833,-0.01074,0.00489,-0.01158
1975.917,-0.01129,0.00491,-0.01155
1976.000,-0.01085,0.00474,-0.01153
1976.083,-0.01116,0.00464,-0.01151
1976.167,-0.01008,0.00447,-0.01149
1976.250,-0.01076,0.00437,-0.01146
1976.333,-0.01084,0.00424,-0.01144
1976.417,-0.01135,0.00425,-0.01141
1976.500,-0.01109,0.00434,-0.01139
1976.583,-0.01032,0.00432,-0.01137
1976.667,-0.01015,0.00426,-0.01134
1976.750,-0.01070,0.00426,-0.01132
1976.833,-0.01153,0.00433,-0.01129
1976.917,-0.01132,0.00442,-0.01126
1977.000,-0.01121,0.00431,-0.01124
1977.083,-0.01165,0.00421,-0.01121
1977.167,-0.01132,0.00417,-0.01119
1977.250,-0.01012,0.00410,-0.01116
1977.333,-0.01027,0.00408,-0.01113
1977.417,-0.01125,0.00412,-0.01111
1977.500,-0.01126,0.00412,-0.01108
1977.583,-0.01113,0.00407,-0.01105
1977.667,-0.01157,0.00409,-0.01102
1977.750,-0.01053,0.00401,-0.01099
1977.833,-0.01048,0.00403,-0.01096
1977.917,-0.01036,0.00411,-0.01093
1978.000,-0.01005,0.00406,-0.01090
1978.083,-0.00915,0.00408,-0.01087
1978.167,-0.00830,0.00415,-0.01084
1978.250,-0.00825,0.00423,-0.01081
1978.333,-0.00871,0.00429,-0.01078
1978.417,-0.00943,0.00419,-0.01075
1978.500,-0.01046,0.00427,-0.01072
1978.583,-0.01108,0.00439,-0.01069
1978.667,-0.01187,0.00446,-0.01066
1978.750,-0.01153,0.00439,-0.01062
1978.833,-0.01152,0.00441,-0.01059
1978.917,-0.01200,0.00439,-0.01056
1979.000,-0.01139,0.00427,-0.01053
1979.083,-0.01221,0.00415,-0.01050
1979.167,-0.01297,0.00405,-0.01046
1979.250,-0.01286,0.00403,-0.01043
1979.333,-0.01242,0.00405,-0.01040
1979.417,-0.01233,0.00401,-0.01037
1979.500,-0.01274,0.00392,-0.01034
1979.583,-0.01213,0.00390,-0.01030
1979.667,-0.01107,0.00390,-0.01027
1979.750,-0.01163,0.00392,-0.01024
1979.833,-0.01093,0.00391,-0.01021
1979.917,-0.01068,0.00391,-0.01018
1980.000,-0.01069,0.00373,-0.01015
1980.083,-0.01055,0.00373,-0.01012
1980.167,-0.01067,0.00377,-0.01009
1980.250,-0.01103,0.00373,-0.01006
1980.333,-0.01141,0.00373,-0.01003
1980.417,-0.01162,0.00372,-0.01000
1980.500,-0.01136,0.00373,-0.00997
1980.583,-0.01053,0.00382,-0.00994
1980.667,-0.01014,0.00372,-0.00991
1980.750,-0.00911,0.00363,-0.00989
1980.833,-0.00904,0.00367,-0.00986
1980.917,-0.00883,0.00360,-0.00983
1981.000,-0.00891,0.00350,-0.00981
1981.083,-0.00854,0.00357,-0.00978
1981.167,-0.00869,0.00353,-0.00975
1981.250,-0.00866,0.00350,-0.00973
1981.333,-0.00882,0.00353,-0.00970
1981.417,-0.00888,0.00355,-0.00968
1981.500,-0.00856,0.00352,-0.00966
1981.583,-0.00828,0.00349,-0.00963
1981.667,-0.00845,0.00357,-0.00961
1981.750,-0.00820,0.00358,-0.00959
1981.833,-0.00852,0.00355,-0.00956
1981.917,-0.00811,0.00364,-0.00954
1982.000,-0.00758,0.00371,-0.00952
1982.083,-0.00773,0.00392,-0.00950
1982.167,-0.00783,0.00405,-0.00948
1982.250,-0.00870,0.00423,-0.00946
1982.333,-0.00821,0.00421,-0.00944
1982.417,-0.00801,0.00410,-0.00942
1982.500,-0.00819,0.00411,-0.00939
1982.583,-0.00834,0.00412,-0.00937
1982.667,-0.00867,0.00414,-0.00935
1982.750,-0.00890,0.00421,-0.00934
1982.833,-0.00927,0.00427,-0.00932
1982.917,-0.01023,0.00429,-0.00930
1983.000,-0.01092,0.00417,-0.00928
1983.083,-0.01075,0.00408,-0.00926
1983.167,-0.01071,0.00409,-0.00924
1983.250,-0.01077,0.00410,-0.00922
1983.333,-0.01073,0.00416,-0.00920
1983.417,-0.01081,0.00406,-0.00918
1983.500,-0.00976,0.00411,-0.00917
1983.583,-0.01000,0.00429,-0.00915
1983.667,-0.01056,0.00437,-0.00913
1983.750,-0.01106,0.00449,-0.00911
1983.833,-0.01146,0.00448,-0.00909
1983.917,-0.01086,0.00441,-0.00908
1984.000,-0.01072,0.00429,-0.00906
1984.083,-0.01011,0.00428,-0.00904
1984.167,-0.01040,0.00426,-0.00902
1984.250,-0.01060,0.00431,-0.00900
1984.333,-0.01078,0.00439,-0.00899
1984.417,-0.01006,0.00423,-0.00897
1984.500,-0.00957,0.00411,-0.00895
1984.583,-0.01017,0.00413,-0.00893
1984.667,-0.00995,0.00420,-0.00892
1984.750,-0.00972,0.00417,-0.00890
1984.833,-0.00893,0.00411,-0.00888
1984.917,-0.00875,0.00406,-0.00886
1985.000,-0.00852,0.00405,-0.00884
1985.083,-0.00837,0.00407,-0.00883
1985.167,-0.00749,0.00401,-0.00881
1985.250,-0.00668,0.00401,-0.00879
1985.333,-0.00660,0.00396,-0.00877
1985.417,-0.00614,0.00396,-0.00875
1985.500,-0.00598,0.00396,-0.00873
1985.583,-0.00565,0.00411,-0.00872
1985.667,-0.00540,0.00411,-0.00870
1985.750,-0.00557,0.00409,-0.00868
1985.833,-0.00556,0.00409,-0.00866
1985.917,-0.00517,0.00401,-0.00864
1986.000,-0.00508,0.00390,-0.00862
1986.083,-0.00496,0.00385,-0.00860
1986.167,-0.00489,0.00386,-0.00858
1986.250,-0.00531,0.00387,-0.00856
1986.333,-0.00643,0.00396,-0.00854
1986.417,-0.00649,0.00396,-0.00852
1986.500,-0.00630,0.00394,-0.00850
1986.583,-0.00637,0.00388,-0.00848
1986.667,-0.00660,0.00384,-0.00846
1986.750,-0.00656,0.00383,-0.00844
1986.833,-0.00699,0.00377,-0.00842
1986.917,-0.00740,0.00383,-0.00840
1987.000,-0.00768,0.00368,-0.00838
1987.083,-0.00795,0.00364,-0.00836
1987.167,-0.00812,0.00368,-0.00834
1987.250,-0.00764,0.00371,-0.00831
1987.333,-0.00783,0.00372,-0.00829
1987.417,-0.00788,0.00367,-0.00827
1987.500,-0.00763,0.00358,-0.00825
1987.583,-0.00763,0.00356,-0.00823
1987.667,-0.00786,0.00359,-0.00820
1987.750,-0.00857,0.00351,-0.00818
1987.833,-0.00873,0.00352,-0.00816
1987.917,-0.00913,0.00350,-0.00814
1988.000,-0.00908,0.00335,-0.00811
1988.083,-0.00969,0.00334,-0.00809
1988.167,-0.01050,0.00335,-0.00807
1988.250,-0.00985,0.00343,-0.00804
1988.333,-0.00971,0.00348,-0.00802
1988.417,-0.00936,0.00348,-0.00800
1988.500,-0.00944,0.00341,-0.00797
1988.583,-0.00976,0.00346,-0.00795
1988.667,-0.00956,0.00349,-0.00793
1988.750,-0.01009,0.00360,-0.00791
1988.833,-0.01040,0.00366,-0.00788
1988.917,-0.01027,0.00365,-0.00786
1989.000,-0.00975,0.00345,-0.00784
1989.083,-0.00913,0.00346,-0.00781
1989.167,-0.00854,0.00345,-0.00779
1989.250,-0.00827,0.00355,-0.00777
1989.333,-0.00791,0.00358,-0.00775
1989.417,-0.00816,0.00352,-0.00772
1989.500,-0.00774,0.00347,-0.00770
1989.583,-0.00808,0.00343,-0.00768
1989.667,-0.00813,0.00347,-0.00765
1989.750,-0.00829,0.00350,-0.00763
1989.833,-0.00883,0.00345,-0.00761
1989.917,-0.00979,0.00350,-0.00759
1990.000,-0.00981,0.00331,-0.00756
1990.083,-0.00985,0.00324,-0.00754
1990.167,-0.00964,0.00319,-0.00752
1990.250,-0.01007,0.00318,-0.00749
1990.333,-0.00978,0.00318,-0.00747
1990.417,-0.00944,0.00317,-0.00745
1990.500,-0.00890,0.00311,-0.00743
1990.583,-0.00817,0.00317,-0.00740
1990.667,-0.00786,0.00321,-0.00738
1990.750,-0.00692,0.00323,-0.00736
1990.833,-0.00657,0.00335,-0.00733
1990.917,-0.00582,0.00343,-0.00731
1991.000,-0.00591,0.00338,-0.00729
1991.083,-0.00569,0.00334,-0.00727
1991.167,-0.00640,0.00331,-0.00724
1991.250,-0.00688,0.00314,-0.00722
1991.333,-0.00709,0.00316,-0.00720
1991.417,-0.00768,0.00320,-0.00717
1991.500,-0.00833,0.00325,-0.00715
1991.583,-0.00785,0.00331,-0.00713
1991.667,-0.00825,0.00326,-0.00711
1991.750,-0.00832,0.00327,-0.00708
1991.833,-0.00790,0.00332,-0.00706
1991.917,-0.00803,0.00342,-0.00704
1992.000,-0.00758,0.00340,-0.00701
1992.083,-0.00838,0.00342,-0.00699
1992.167,-0.00825,0.00340,-0.00697
1992.250,-0.00768,0.00343,-0.00695
1992.333,-0.00781,0.00339,-0.00692
1992.417,-0.00687,0.00322,-0.00690
