,random,strat,random_rich,strat_rich
31,44549.7445126738,44314.979607070774,52040.547528221075,59449.22024925783
32,43843.81111525703,45307.79421026448,63323.93165597325,56791.80083311282
33,43615.73972962167,44480.79047731438,52702.02379325448,58484.597259331036
34,44196.800606143384,45421.0932823775,44423.993209039814,51575.13280479779
35,45026.02153071372,45498.517070497204,49343.58829834081,52536.57821061927
36,44860.018228527064,44394.600647800326,56600.39019258659,47643.23853834771
37,44906.613188671814,44434.68887459458,57235.18352958264,50218.412237915916
38,44900.185340857555,46486.4867988403,52812.333088882566,59897.912723493464
39,44521.494926933025,45213.65693491494,56632.217928460595,54840.12166546874
40,44304.72274864146,44526.94971092501,48044.6583471974,64182.718640937186
41,43987.57890334362,44391.399874395116,52561.86556138643,58745.61945364053
42,44989.900513813365,43936.84031038714,53012.9632379135,50750.69477166558
43,44097.48806241046,44238.94596292126,62953.65457346054,56465.65710559959
44,45531.56975891868,45229.71271159095,52930.415045058035,53471.357524597675
45,44350.520902696444,45194.46558972847,46174.578993183466,64982.28630925089
46,44605.00638752229,45099.61277335573,44625.24070944681,53090.45753997174
47,42307.11905829323,45474.24912605494,66665.03222367517,55209.952456432584
48,45045.875166919366,44370.589348851005,55160.8982951782,64349.35546524355
49,44683.89606147716,44755.64688556339,43550.076980321726,54755.51766548112
50,45565.40761981757,45238.32271307476,55843.35412695183,66979.70978968532
51,43919.29081729216,45596.582428027745,50665.307826136,50577.34015702188
52,44801.17892560347,45417.82722704143,50230.95785506223,56062.969137699285
53,45050.62040414526,44080.813114975135,59588.4369788141,44667.329643936944
54,44281.664306246326,44834.67772949616,58308.723413993466,63327.524265753746
55,44417.73341227169,44305.47666308022,61562.53508719126,53062.38846002059
56,44230.089289214906,45470.74519136896,64579.01710738214,55879.10968649982
57,44548.38456536685,45396.05610621219,60150.663198690156,46543.935393348096
58,46356.129830811355,45569.13220841863,63657.04998481697,59466.00698681997
59,44720.505711931,45256.10786007162,55098.02137552862,47680.682797935
60,43794.86434315073,44411.691880971324,61936.93252639685,48786.20017356549
61,43461.68208409396,44021.6500076321,56896.02422935974,50205.76182842908
62,44289.144331153926,43637.942483445295,52066.273817287496,50633.532645672225
63,44685.8997255249,44964.4198543926,61580.778217542334,59009.093579894725
64,46190.67858097711,45516.393517796794,59408.65518685902,55195.67657927094
65,42851.50625664842,44258.572639798374,56950.12570082763,57493.072570169505
66,44421.540457930976,45512.38312657996,63146.30472852751,57123.69827972432
67,44725.3355373481,45227.65416068969,67828.10881327288,58298.16645553525
68,44770.86894631185,44654.50308240779,59221.31847678103,66215.3651902531
69,44737.19539808489,44347.866962106295,53864.41837155244,55176.98165457094
70,44814.80468237829,44429.69597256696,57817.82348996963,57025.27086503206
71,44211.56911609848,44290.14500916061,59636.01625713355,59879.18567123775
72,44163.60980390084,44757.415056753096,53098.74674185405,59154.33734232021
73,44335.02700124614,44091.00028337633,57447.23105211909,54940.10727839613
74,44113.05078145838,44891.76907567592,57001.63418136717,60335.69208563448
75,45842.67497552586,44083.87674369742,59279.838673180275,52601.50230063219
76,44979.569006862825,43845.14453272659,53621.288301588625,55216.32398248262
77,45614.094132830716,44400.62675552247,58521.1291660739,57208.005343328645
78,43092.70550827644,42844.521651240175,63518.46173445253,56167.30148152559
79,44139.18530920165,43504.335641470345,59657.92547374562,66023.57812995388
80,44165.023246979115,44904.7754083742,46107.59921986945,53072.62297854579
81,45098.194722343214,45145.2268837962,53781.63545281202,58081.88567703636
82,44430.747861526375,43735.65701521174,61556.55443587705,56851.239317329426
83,44714.360549074605,45628.39686510598,57163.0874404777,57577.59612770762
84,44551.10242871955,44328.05643235347,54284.78672192095,54793.670478228145
85,44884.765139435025,43492.94296360923,53160.19071949737,50132.89002078126
86,45440.83152887517,45656.733830615354,60825.91930301027,55821.44962579601
87,45064.79133748346,44500.87093617921,60559.42072533874,58007.44775048252
88,44145.42829358685,45345.92029491665,60448.687287261135,55626.2454491558
89,43850.01910196647,44120.89934870284,58423.95165137754,51864.491726935856
90,43746.3002551204,44849.84325783788,58791.12246669822,61925.34514507411
91,45033.84944916221,44637.379468176165,53728.56468836872,59859.93467577528
92,44921.70416369252,45051.71586777786,54458.00542933868,47838.767657437485
93,43087.52108035035,45117.650722027785,55452.17530048353,55329.99278956575
94,45402.103233785005,44272.265205410535,70040.30534778933,58628.92770440303
95,43835.84704471958,44830.148135030584,63067.48139574146,65035.15812938917
96,45489.598302556005,43564.72848314884,59632.058117233864,55599.062353798545
97,44931.07389353981,44868.963711017524,61643.31233181825,49967.402576978675
98,44247.78229159945,44267.3758677574,45716.894350136674,56574.255494015066
99,45611.82500664045,44259.52644777307,56510.12345041332,55995.563705979446
