,random,strat,random_rich,strat_rich
29,43835.77371547468,45048.75895952645,60833.38248144526,57406.59147490387
30,45601.12770395837,46113.267752917985,45977.91435114046,55863.31575102639
31,44624.867626287625,44038.20729635909,54306.00485129151,54771.04987590486
32,45491.26528860369,44607.677326663485,63609.0450768499,62906.26359910434
33,45012.44796557528,44216.45477781043,50249.749408244796,59255.18280327822
34,44031.303282998255,44267.253382525094,62318.35791722348,56701.82094137394
35,46312.21080762963,45458.119976539965,58220.51041502566,55344.44149749717
36,45932.70982489241,46430.910087400734,55900.66096101312,62472.97187565071
37,44455.22607778031,45166.12453533584,50634.51706763717,56989.53735657048
38,44897.60345852465,44927.02041554644,60173.9252315966,53703.73794179596
39,44142.54207280529,44999.96770673159,47007.855326164274,52413.75509682011
40,45407.208505008646,44898.227473211715,52113.283647532524,54230.91395153989
41,43991.74893747273,46596.78169389967,47298.19597786942,60232.488391315725
42,44028.42417422955,44400.116326428615,48043.89918419975,55029.65660110983
43,44511.70945155555,45596.286755245994,48519.8446497575,47916.189702310025
44,44673.52774546906,44767.3322913854,62463.08931469938,62910.00958222841
45,44567.30416286454,45374.889095624974,57360.75045266137,55135.00169799875
46,44855.95955869507,45094.63226050085,61573.37121370107,50442.55588731051
47,45609.78243216427,45088.68218358182,53937.35660725114,62129.81471604888
48,43571.36058012451,46058.25210054688,54932.83919547599,60260.773942652544
49,45691.60632617406,44394.436396913494,55904.56298144985,55232.072408558815
50,45354.71130494901,44449.65678451149,61402.29973848377,50387.93136630241
51,44962.86242283685,44975.81195357553,54602.55485228138,69179.88856920532
52,45292.11836929003,45536.14114655311,52419.192506914136,48068.26024682191
53,45580.30451112555,44710.02403428794,61078.216064596025,63041.49480293697
54,45041.6203773958,45314.701533276246,57369.437001623424,52488.88207252878
55,44526.31251738704,44883.91949244717,53181.237362037355,61624.5639638603
56,45149.418654166126,43984.659590389616,61094.163284626135,53919.11197256334
57,44961.898024610324,45485.74538284026,55576.51636524456,57023.226747772336
58,44161.33374678481,45329.07679170712,54690.47326779267,57924.822436217364
59,45623.61251299869,44946.8332147207,60305.527815660884,52512.19512681828
60,45928.33087192332,44900.47817196512,59142.89852441243,59460.64351496854
61,45192.14470262755,44264.828771725384,64951.595603737645,52783.272236754354
62,45836.08882435627,44678.732373794126,63098.81001813591,53719.25866211977
63,44787.24744356446,44720.69310922891,49816.16429933737,64418.502558035645
64,43708.8545451858,44536.22745827767,50550.8078920487,56187.39575480363
65,44934.51368824555,44481.65262477603,51712.00552344734,64249.32065030544
66,44995.92140918526,43805.94022654288,47358.07209894944,52534.10447826567
67,45251.47469871792,45770.31572692209,61097.204408110905,56508.38323937876
68,45073.5969159374,45952.09675737525,52337.74430307034,57507.54319072002
69,44302.57583558807,45012.85989821491,56891.53419159666,65548.39568327025
70,44944.32787161441,44982.718802039846,56453.66881428161,57231.52987291361
71,43983.09962902546,43819.51471416779,57278.30720539661,45764.39945864016
72,45575.56558506041,43025.14789822131,60594.63816407442,55422.21228871909
73,46086.87551920038,44854.542247634636,59264.76800981291,58847.0508703305
74,44146.30923444239,44608.23725513763,53067.189679599775,59861.84633015215
75,45017.602258800376,44922.65642069666,49987.949169997184,55713.81736526971
76,46177.7931127048,45292.37857935834,53626.36337609654,53747.96100989709
77,44095.80016736083,44711.08594912344,65113.18298665178,61856.78753972194
78,43976.92542076214,45612.72984225629,48828.863122444396,62733.35137226557
79,44981.51111567378,44902.174082099235,46453.69763680761,64091.278363899415
80,44807.13632518025,46140.30445688205,51042.11002144793,58358.69714004981
81,45130.23446231251,45274.548377032195,65096.81721183541,61837.24068152354
82,46239.39897299888,45976.63652214303,72840.27440589118,61089.657021529034
83,45335.342277747994,45307.35988063659,58621.427590436084,54812.35157356556
84,44589.24441711346,45235.449246837496,60644.08784044823,53850.582132176016
85,44010.96440318027,45531.968362450745,49414.07720282199,54691.02850590594
86,45160.89492742558,44847.74150182796,52013.02518493699,53426.25531519902
87,44625.80482210582,44632.36261999727,58493.830404645305,56175.143315972484
88,45117.44396302974,44617.235538700996,58287.76493754192,61433.510822782075
89,44700.89684979751,45652.24864946932,50387.53637591243,62216.45476203381
90,44589.3569325756,46117.941096767514,68105.17945743952,55725.765292109754
91,43737.219532238836,45117.93500433373,62324.351307454956,64665.1701903644
92,46261.63926752154,45653.62505339848,56476.09656899132,54908.15435922861
93,45538.8823104631,45268.81200816689,53853.956228587216,57230.166324414335
94,44498.90701262769,44435.84688412383,54952.246855740086,61020.67785666558
95,44655.23201269061,45399.87855997108,58631.38581070154,53324.21706055114
96,45571.2353840951,45350.376368269186,62598.19918868806,58249.242431128
97,44276.12713743333,45006.10347284774,54712.26256553697,63879.87162284161
98,44834.714685282284,44939.91992202239,59379.096173196165,54895.525402155894
99,45109.60846410821,45732.23334757248,61278.941104657584,63166.14115366527
