,random,strat,random_rich,strat_rich
38,45144.55643218211,46033.35579681371,62799.114671244075,53645.03120084546
39,44755.9912398574,46010.04187954312,47566.710649436005,55828.26665852378
40,45632.208985619276,44299.858429181346,53695.38980651346,48136.667037634244
41,44573.678905655936,45427.50518642198,50753.12032171591,52352.73749911072
42,45062.57953535613,44584.11939284481,50987.378189902396,64208.22556957676
43,45716.752699096556,45227.69269015877,52826.44167800324,51524.94712611753
44,44772.70508292649,44106.330812357795,60336.22863822964,57312.785812757764
45,44928.04223659679,45233.30092067124,58511.30746061611,58745.80811252537
46,45573.53320469727,45706.200413548184,65895.39465558971,56724.7522048216
47,45268.87490311386,45844.876992827696,50900.159056390105,59839.29216381714
48,44006.14891347465,45091.10117605943,52705.30670458679,62051.75030083218
49,45498.36606978818,46239.02189108702,53014.87452502321,61870.952617345225
50,45735.307455678776,44078.38621011309,65046.17897834231,58043.74477324484
51,45355.0041172327,45697.99665142139,52950.35703004852,65808.49405903056
52,46274.6003678068,46290.82107403875,55092.79254519007,57373.13428027841
53,46011.525554876294,45819.989968721486,63269.119047986,63466.17188057432
54,45494.00346719973,45484.678740216725,58446.05305334248,57630.19693468137
55,44899.762353950355,43841.477566648944,57909.76047877171,51179.13885528218
56,45279.773258323585,44923.007225692985,60451.57704546632,58457.52340273194
57,45317.94380534167,45404.562671396685,56374.01397511682,62514.893982814516
58,44466.00959655959,45632.84878583457,58248.46252761763,55348.690522357276
59,46176.73476882474,45459.412128100346,62275.65905802291,63639.42514181718
60,45970.72975111789,45709.984834894654,57992.60088500435,57222.885910313555
61,45846.473251286945,44385.870970837925,62813.509590589565,54127.74334115869
62,46118.18801768441,44381.49212264137,63524.451705707615,57207.494210195255
63,45511.47595049051,45227.49364428412,50710.49953094588,45837.33260993326
64,44327.61282916449,44483.09423545204,50307.51948357784,56384.968810648264
65,45646.622626106335,46590.31559359693,54535.658556845694,62251.6809908815
66,45646.19284447204,45461.24492289939,47500.72069416049,63925.88097983179
67,46026.48837317716,44034.901057733034,62751.95086040583,53668.033440152554
68,45509.05543274456,45036.11124808528,52624.59931596695,57145.834161936
69,44862.12643525693,44812.658751363226,55881.709233967806,59838.43408819271
70,45296.46868219035,45347.47852683071,56143.217216725694,61037.57039595588
71,44367.819632345374,45525.49450353872,56885.2406640717,66482.84170215388
72,46042.607488029236,45636.864583812836,60211.90152975828,54972.23217658339
73,46642.6010902819,44646.2895165366,64133.323211732575,58052.91779987777
74,44467.77096811196,45883.789219076374,56043.900501352364,62001.56508137261
75,44724.08009043517,45396.711956450774,47485.367302484374,58611.76817069451
76,46498.74720849992,44544.12483957414,52373.868602356786,48423.993690325
77,43605.74832620195,45593.95040481974,64676.09007019269,61401.293628117885
78,44705.88155774675,45425.504539557,52794.2100205686,52630.07828681419
79,45992.93160781791,45163.18074249055,50721.20774492822,55390.44416325955
80,45454.664665370365,45118.302968067495,54714.73324085784,67455.66891588052
81,45483.20402272142,44657.042283437586,66808.45741312177,52455.162319530136
82,47059.339080067846,45973.06004038277,69768.92522482362,59157.59957084236
83,45696.59389053709,46405.62695464633,58345.57347518446,51595.291641038435
84,45025.97721724786,44837.14871727996,59957.214467207086,58895.31687125114
85,44544.547647806095,45549.03202301525,52058.39635279186,55574.8917956233
86,45684.14245431511,46415.843196385635,56764.54423484384,64440.44787539075
87,45050.032668278385,45351.69389519178,56601.91981301092,52457.544954929144
88,45323.57284186118,45599.56789001603,56961.436424674976,65652.39429500395
89,45150.37844825797,45559.67614677601,48523.70352483906,60399.67338684949
90,44543.67077903624,45180.502582384746,70135.19341933177,61283.185698567264
91,44576.6267955108,44877.17305466854,66188.4966029727,57543.369969617845
92,46872.11835941526,45325.69350873501,57172.560565797925,53900.285635488995
93,46272.389137387756,43627.73965190473,54633.98194353525,55184.28648843886
94,45064.141693032296,45341.096402616575,57166.9455775509,59320.80384961991
95,45092.48109968171,45290.71425306726,57766.767353009,59335.43063040191
96,45890.853156677586,45877.23398510797,69363.91989062175,49850.67509851575
97,45069.61844211665,44363.21970436609,55939.2806831607,65392.56011393014
98,44654.96867164295,45318.62356419526,58552.63484704052,56885.6502116307
99,45317.19128095842,44889.03629442414,63241.42568795605,59429.00221646368
