,random,strat,random_rich,strat_rich
54,43400.20756471679,45426.921584246455,61243.85232000462,51981.64835358297
55,43044.966478352464,42706.71182829289,65556.85276342994,62367.87811554054
56,44728.87844118408,43735.50165903822,54251.44259700574,50745.971963065116
57,44969.22874135222,43454.346009756606,51732.79793339564,55328.90916621987
58,44091.59624268078,44640.72555787368,55876.26449452785,60356.77821379473
59,43245.09640809284,43744.31519606404,73670.04544265184,63847.23771355182
60,42939.28743012192,45616.58015563642,66387.58165516582,65417.01028723826
61,44250.258688629954,43240.57752552305,65197.143186106165,53082.1144541232
62,45135.322005974755,43245.64120222726,55439.754730965666,50418.537698457636
63,43922.98890711335,44260.30265101062,51864.53514177715,61251.876182473105
64,42889.76254040459,43261.83916649145,58258.65243002933,53295.25136236603
65,44972.53877116116,45037.617297345,49579.19143469046,52431.8901021367
66,45330.91396188632,44143.35102106593,61056.68710664931,48007.69328558887
67,43692.61701506683,43041.58804219083,67667.75276580342,55605.023529767815
68,44594.64427715461,43426.12028758909,65169.44019389137,54497.49311986016
69,44457.45842352549,44831.20237987063,55734.69315976714,62817.41441771528
70,42108.72601407016,44051.790680767976,58907.164648536804,56203.38615031931
71,44716.56185887426,43662.064181894595,60432.634566575674,47598.43239048683
72,44134.25626220429,42855.36740498979,54187.339001955756,58648.850093600195
73,44391.73510198824,42581.10476723054,64113.90594524369,58339.34302512477
74,46153.36518842275,45450.972755874565,67491.80015058226,64645.46967517375
75,43971.406459177495,44781.254586112795,65174.84786789436,62039.296233458816
76,43529.54854786149,43241.4440886362,59597.52393393803,55604.37431690607
77,43769.87439418722,42533.15096002566,57544.27241955794,50772.53339768509
78,43286.316603600964,44571.66687594632,58492.013602430845,57061.82765976757
79,41855.23639970399,44804.43650344919,64801.16334982905,55257.24724141091
80,43011.3135562234,45101.93608210688,45528.93879806119,68945.52124339774
81,43678.16489848538,43260.910983275724,53885.091259085755,50688.033851337
82,43516.49497453663,44227.01415379516,59383.93700030264,64551.72694873076
83,44188.80484446176,45737.82912296713,51323.035739237406,57480.50539786206
84,44454.254452207875,42942.15902426123,53026.573953878964,55094.493583066935
85,43416.55921665964,44458.697804096795,55952.34565692295,57940.278545555055
86,44592.42280238577,43939.10633289427,63290.10956889833,56493.22018038276
87,44132.24140102068,44955.50313822269,65263.763104828504,65690.15603211649
88,41693.492842428415,43153.44850349385,53308.902561034825,56054.70883325461
89,42752.885625821524,43240.56673019862,63078.84407628282,56289.02327796514
90,44006.3547602034,44043.3975294234,48853.352361728124,60495.060240420156
91,45731.82144644308,43967.75915170855,58309.74893786271,60695.1402097348
92,43287.112780191455,43634.74526366777,50175.20192860114,60969.37346174274
93,44931.91580409036,42888.345452205656,56237.713854636364,57543.50055834226
94,45108.59658822802,44957.29350853446,63260.264625323456,67242.1013878033
95,43554.44453302442,43141.777980016115,58653.194900771625,57981.56655351768
96,44024.80931311622,43893.06958544554,62288.01021970143,57988.07252426455
97,43484.157049900416,44023.09248242052,64914.294217666546,72255.06794440646
98,44160.76343866728,43711.904147334164,63896.17924961095,60439.57569998031
99,44006.09538760065,43863.10999908976,57075.54689702737,52209.94965384609
